current_set_ma,measured_voltage_v,measured_current_ma,measured_power_mw,peak_pixel,peak_wavelength_nm,peak_counts,saturated_pixels,illuminated_max
0.500000,1.669354,0.500000,0.834677,58,463.061622,3.500000,0,160.833333
0.550000,2.106478,0.500000,1.053239,58,463.061622,3.000000,0,159.916667
0.600000,1.734467,0.500000,0.867233,56,458.059648,3.583333,0,160.833333
0.650000,0.886094,0.500000,0.443047,58,463.061622,3.750000,0,160.750000
0.700000,0.648953,0.500000,0.324477,56,458.059648,4.333333,0,162.083333
0.750000,0.617445,0.500000,0.308723,58,463.061622,3.416667,0,160.166667
0.800000,0.605780,0.550000,0.333179,58,463.061622,4.000000,0,161.666667
0.850000,0.582126,0.550000,0.320169,57,460.562880,4.083333,0,162.250000
0.900000,0.586579,0.550000,0.322619,58,463.061622,7.083333,0,164.666667
0.950000,0.586823,0.600000,0.352094,186,736.611070,5.250000,0,163.000000
1.000000,0.576615,0.600000,0.345969,186,736.611070,6.083333,0,164.416667
1.050000,1.798101,1.050000,1.888006,56,458.059648,868.333333,12,1004.916667
