pixel,wavelength_nm,background_mean,illuminated_mean,subtracted
0,312.079049,118.208333,122.666667,4.458333
1,314.759885,119.000000,123.708333,4.708333
2,317.439046,119.375000,123.958333,4.583333
3,320.116469,116.541667,121.375000,4.833333
4,322.792093,118.166667,123.291667,5.125000
5,325.465855,117.500000,122.250000,4.750000
6,328.137695,116.750000,121.291667,4.541667
7,330.807551,118.958333,123.458333,4.500000
8,333.475364,116.958333,121.125000,4.166667
9,336.141075,116.416667,120.875000,4.458333
10,338.804623,117.333333,121.958333,4.625000
11,341.465950,115.666667,120.583333,4.916667
12,344.124997,117.125000,121.666667,4.541667
13,346.781707,116.750000,121.291667,4.541667
14,349.436022,116.291667,121.083333,4.791667
15,352.087885,117.958333,122.916667,4.958333
16,354.737240,115.625000,120.041667,4.416667
17,357.384031,117.500000,122.500000,5.000000
18,360.028201,117.875000,122.875000,5.000000
19,362.669695,115.666667,120.916667,5.250000
20,365.308460,119.125000,124.291667,5.166667
21,367.944440,116.375000,121.833333,5.458333
22,370.577581,116.750000,123.000000,6.250000
23,373.207831,119.333333,125.458333,6.125000
24,375.835135,115.791667,122.291667,6.500000
25,378.459442,116.958333,123.208333,6.250000
26,381.080700,119.208333,125.375000,6.166667
27,383.698856,116.291667,122.583333,6.291667
28,386.313860,118.750000,125.375000,6.625000
29,388.925661,117.916667,124.916667,7.000000
30,391.534207,118.125000,125.666667,7.541667
31,394.139451,120.833333,128.791667,7.958333
32,396.741341,119.791667,127.958333,8.166667
33,399.339829,123.708333,132.208333,8.500000
34,401.934866,125.666667,134.791667,9.125000
35,404.526405,125.833333,135.375000,9.541667
36,407.114396,129.541667,140.208333,10.666667
37,409.698794,130.708333,142.625000,11.916667
38,412.279550,132.583333,146.708333,14.125000
39,414.856619,136.083333,153.791667,17.708333
40,417.429955,134.291667,157.708333,23.416667
41,419.999512,137.583333,169.666667,32.083333
42,422.565244,138.833333,183.833333,45.000000
43,425.127107,139.166667,204.416667,65.250000
44,427.685057,142.958333,238.666667,95.708333
45,430.239050,144.416667,283.500000,139.083333
46,432.789041,147.125000,347.250000,200.125000
47,435.334989,152.875000,442.333333,289.458333
48,437.876851,155.958333,566.750000,410.791667
49,440.414583,160.458333,727.375000,566.916667
50,442.948145,162.750000,902.458333,739.708333
51,445.477496,161.125000,986.958333,825.833333
52,448.002593,162.583333,1000.416667,837.833333
53,450.523397,157.208333,998.666667,841.458333
54,453.039867,153.583333,999.291667,845.708333
55,455.551963,153.125000,997.833333,844.708333
56,458.059648,150.125000,1000.083333,849.958333
57,460.562880,148.791667,999.666667,850.875000
58,463.061622,148.416667,999.833333,851.416667
59,465.555837,146.250000,1000.041667,853.791667
60,468.045485,148.416667,1000.291667,851.875000
61,470.530531,145.750000,1000.125000,854.375000
62,473.010936,146.541667,999.666667,853.125000
63,475.486665,148.416667,998.541667,850.125000
64,477.957682,146.041667,999.125000,853.083333
65,480.423951,145.750000,1001.250000,855.500000
66,482.885436,146.041667,999.750000,853.708333
67,485.342103,144.250000,999.708333,855.458333
68,487.793918,145.208333,998.125000,852.916667
69,490.240847,144.125000,998.875000,854.750000
70,492.682855,144.625000,999.500000,854.875000
71,495.119910,144.208333,997.708333,853.500000
72,497.551978,142.333333,1000.375000,858.041667
73,499.979028,142.500000,1001.208333,858.708333
74,502.401028,142.625000,999.250000,856.625000
75,504.817945,138.750000,951.916667,813.166667
76,507.229749,140.750000,823.916667,683.166667
77,509.636409,138.250000,688.958333,550.708333
78,512.037893,137.291667,566.875000,429.583333
79,514.434173,138.458333,474.875000,336.416667
80,516.825219,135.625000,396.500000,260.875000
81,519.211001,135.333333,341.458333,206.125000
