pixel,background_mean,illuminated_mean,subtracted
0,118.083333,194.791667,76.708333
1,119.208333,197.208333,78.000000
2,119.458333,198.833333,79.375000
3,116.750000,197.416667,80.666667
4,118.750000,200.333333,81.583333
5,118.000000,199.625000,81.625000
6,116.833333,199.083333,82.250000
7,118.916667,200.333333,81.416667
8,116.916667,197.625000,80.708333
9,116.583333,196.500000,79.916667
10,117.125000,198.166667,81.041667
11,115.833333,197.833333,82.000000
12,117.333333,200.041667,82.708333
13,116.375000,200.750000,84.375000
14,116.208333,201.166667,84.958333
15,118.125000,203.541667,85.416667
16,116.166667,202.416667,86.250000
17,118.291667,205.750000,87.458333
18,118.416667,208.541667,90.125000
19,116.375000,208.583333,92.208333
20,119.208333,214.500000,95.291667
21,117.000000,214.583333,97.583333
22,117.833333,218.625000,100.791667
23,119.791667,223.375000,103.583333
24,116.458333,224.291667,107.833333
25,117.250000,229.166667,111.916667
26,119.208333,236.375000,117.166667
27,116.250000,238.625000,122.375000
28,119.125000,247.416667,128.291667
29,118.416667,252.333333,133.916667
30,119.041667,259.541667,140.500000
31,121.875000,270.708333,148.833333
32,120.791667,278.708333,157.916667
33,124.166667,293.916667,169.750000
34,126.708333,310.166667,183.458333
35,127.083333,328.083333,201.000000
36,131.583333,355.916667,224.333333
37,132.833333,391.000000,258.166667
38,135.416667,442.125000,306.708333
39,138.166667,522.666667,384.500000
40,136.666667,636.458333,499.791667
41,139.500000,811.041667,671.541667
42,139.583333,990.041667,850.458333
43,138.333333,1001.916667,863.583333
44,141.125000,1001.333333,860.208333
45,140.125000,1001.125000,861.000000
46,141.250000,1001.958333,860.708333
47,145.166667,999.958333,854.791667
48,146.958333,1002.250000,855.291667
49,149.416667,1002.083333,852.666667
50,151.416667,1000.666667,849.250000
51,150.958333,1001.625000,850.666667
52,153.041667,1001.500000,848.458333
53,150.708333,944.083333,793.375000
54,148.875000,488.541667,339.666667
55,150.000000,146.166667,0.000000
56,148.375000,128.583333,0.000000
57,148.375000,128.458333,0.000000
58,148.750000,127.625000,0.000000
59,147.375000,128.416667,0.000000
60,149.833333,128.375000,0.000000
61,148.083333,128.000000,0.000000
62,149.125000,127.958333,0.000000
63,151.375000,128.166667,0.000000
64,149.166667,128.291667,0.000000
65,149.000000,127.708333,0.000000
66,149.500000,128.208333,0.000000
67,147.666667,128.125000,0.000000
68,148.250000,128.791667,0.000000
69,147.416667,162.875000,15.458333
70,146.375000,502.750000,356.375000
71,146.250000,953.791667,807.541667
72,144.166667,998.458333,854.291667
73,143.333333,1000.541667,857.208333
74,143.291667,1001.500000,858.208333
75,139.416667,1000.041667,860.625000
76,141.541667,1001.000000,859.458333
77,139.125000,1001.416667,862.291667
78,137.416667,999.791667,862.375000
79,138.708333,1000.833333,862.125000
80,135.500000,1001.791667,866.291667
81,135.791667,999.083333,863.291667
82,137.291667,1000.041667,862.750000
83,134.625000,1002.291667,867.666667
84,137.166667,1003.083333,865.916667
85,134.125000,1001.000000,866.875000
86,134.750000,998.541667,863.791667
87,134.416667,916.625000,782.208333
88,132.666667,769.625000,636.958333
89,132.291667,661.708333,529.416667
90,131.625000,583.916667,452.291667
91,129.833333,505.333333,375.500000
92,130.833333,447.333333,316.500000
93,129.458333,398.000000,268.541667
94,130.000000,359.958333,229.958333
95,129.541667,327.791667,198.250000
96,126.166667,299.333333,173.166667
97,127.666667,280.083333,152.416667
98,128.791667,266.125000,137.333333
99,125.833333,249.333333,123.500000
100,127.500000,241.375000,113.875000
101,125.583333,231.416667,105.833333
102,124.666667,224.291667,99.625000
103,126.083333,219.500000,93.416667
104,124.500000,212.958333,88.458333
105,124.375000,208.000000,83.625000
106,124.750000,204.583333,79.833333
107,122.625000,198.083333,75.458333
108,125.500000,197.375000,71.875000
109,122.708333,190.583333,67.875000
110,122.916667,187.000000,64.083333
111,124.000000,184.875000,60.875000
112,121.666667,180.041667,58.375000
113,122.583333,178.958333,56.375000
114,122.750000,176.916667,54.166667
115,121.750000,174.291667,52.541667
116,124.333333,176.000000,51.666667
117,122.208333,173.458333,51.250000
118,122.541667,173.000000,50.458333
119,124.666667,175.125000,50.458333
120,122.500000,172.333333,49.833333
121,123.250000,173.916667,50.666667
122,123.958333,174.916667,50.958333
123,122.041667,171.958333,49.916667
124,124.500000,174.208333,49.708333
125,123.375000,172.625000,49.250000
126,122.375000,171.166667,48.791667
127,123.666667,171.125000,47.458333
128,123.041667,169.291667,46.250000
129,123.583333,168.125000,44.541667
130,124.500000,167.291667,42.791667
131,123.208333,164.083333,40.875000
132,124.500000,164.166667,39.666667
133,122.833333,161.125000,38.291667
134,122.416667,159.041667,36.625000
135,123.750000,159.166667,35.416667
136,120.750000,154.375000,33.625000
137,121.583333,154.750000,33.166667
138,122.875000,154.916667,32.041667
139,120.458333,151.625000,31.166667
140,121.791667,152.875000,31.083333
141,121.833333,151.958333,30.125000
142,121.041667,151.375000,30.333333
143,124.875000,154.708333,29.833333
144,123.125000,153.458333,30.333333
145,124.791667,155.208333,30.416667
146,125.750000,156.708333,30.958333
147,125.333333,157.875000,32.541667
148,128.166667,160.833333,32.666667
149,127.916667,161.625000,33.708333
150,130.541667,164.500000,33.958333
151,131.291667,166.000000,34.708333
152,131.625000,166.500000,34.875000
153,134.208333,169.583333,35.375000
154,136.416667,172.750000,36.333333
155,135.791667,171.375000,35.583333
156,138.000000,173.333333,35.333333
157,137.083333,171.958333,34.875000
158,137.625000,172.666667,35.041667
159,139.791667,174.083333,34.291667
160,139.208333,172.500000,33.291667
161,141.375000,174.208333,32.833333
162,145.208333,178.208333,33.000000
163,144.291667,176.375000,32.083333
164,147.125000,178.083333,30.958333
165,148.041667,178.208333,30.166667
166,148.291667,177.625000,29.333333
167,151.208333,180.958333,29.750000
168,151.125000,180.333333,29.208333
169,151.958333,179.916667,27.958333
170,153.208333,180.458333,27.250000
171,151.416667,177.583333,26.166667
172,153.083333,178.666667,25.583333
173,151.458333,176.375000,24.916667
174,150.541667,174.958333,24.416667
175,151.000000,174.541667,23.541667
176,149.750000,172.500000,22.750000
177,150.000000,171.750000,21.750000
178,152.375000,174.041667,21.666667
179,151.041667,172.541667,21.500000
180,154.083333,175.291667,21.208333
181,153.583333,173.833333,20.250000
182,155.541667,175.291667,19.750000
183,158.916667,177.750000,18.833333
184,158.791667,177.583333,18.791667
185,160.041667,177.625000,17.583333
186,162.666667,179.916667,17.250000
187,162.125000,179.333333,17.208333
188,165.041667,181.458333,16.416667
189,164.125000,180.166667,16.041667
190,165.125000,180.416667,15.291667
191,166.750000,181.750000,15.000000
192,165.125000,179.583333,14.458333
193,166.125000,179.958333,13.833333
194,165.166667,179.041667,13.875000
195,161.458333,174.791667,13.333333
196,159.791667,173.541667,13.750000
197,153.833333,166.416667,12.583333
198,149.541667,161.000000,11.458333
199,148.583333,159.583333,11.000000
200,145.750000,156.625000,10.875000
201,145.875000,156.458333,10.583333
202,151.833333,162.500000,10.666667
203,152.708333,162.708333,10.000000
204,159.500000,170.125000,10.625000
205,162.250000,172.375000,10.125000
206,164.000000,173.541667,9.541667
207,167.000000,176.666667,9.666667
208,165.458333,174.875000,9.416667
209,165.750000,174.583333,8.833333
210,165.458333,174.166667,8.708333
211,163.708333,171.625000,7.916667
212,166.375000,173.916667,7.541667
213,162.541667,170.916667,8.375000
214,163.000000,171.000000,8.000000
215,163.000000,171.333333,8.333333
216,160.208333,168.000000,7.791667
217,160.208333,167.458333,7.250000
218,161.166667,168.375000,7.208333
219,158.791667,165.375000,6.583333
220,161.583333,168.125000,6.541667
221,159.291667,165.208333,5.916667
222,158.125000,164.375000,6.250000
223,159.375000,165.958333,6.583333
224,157.875000,163.500000,5.625000
225,157.041667,162.541667,5.500000
226,158.416667,163.833333,5.416667
227,155.291667,160.875000,5.583333
228,156.375000,161.375000,5.000000
229,153.000000,158.625000,5.625000
230,152.250000,157.750000,5.500000
231,151.916667,157.291667,5.375000
232,148.958333,153.916667,4.958333
233,147.250000,152.250000,5.000000
234,147.166667,151.625000,4.458333
235,143.375000,148.125000,4.750000
236,146.958333,151.333333,4.375000
237,144.000000,147.875000,3.875000
238,142.875000,147.500000,4.625000
239,144.500000,149.041667,4.541667
240,142.833333,147.083333,4.250000
241,144.250000,148.000000,3.750000
242,145.916667,149.833333,3.916667
243,142.708333,146.291667,3.583333
244,143.625000,147.541667,3.916667
245,144.500000,147.833333,3.333333
246,143.375000,147.375000,4.000000
247,146.208333,150.375000,4.166667
248,142.958333,146.833333,3.875000
249,145.166667,148.541667,3.375000
250,145.208333,148.666667,3.458333
251,143.041667,146.625000,3.583333
252,146.083333,149.541667,3.458333
253,144.166667,147.375000,3.208333
254,143.291667,146.208333,2.916667
255,145.250000,147.666667,2.416667
256,142.666667,145.250000,2.583333
257,143.000000,145.416667,2.416667
258,143.458333,146.208333,2.750000
259,140.750000,143.333333,2.583333
260,142.791667,145.958333,3.166667
261,141.500000,144.208333,2.708333
262,140.125000,142.458333,2.333333
263,140.791667,143.791667,3.000000
264,139.125000,141.708333,2.583333
265,139.041667,141.625000,2.583333
266,141.416667,143.958333,2.541667
267,137.625000,140.333333,2.708333
268,138.833333,141.375000,2.541667
269,138.500000,141.000000,2.500000
270,137.166667,139.291667,2.125000
271,140.166667,142.291667,2.125000
272,137.291667,139.250000,1.958333
273,137.583333,139.958333,2.375000
274,137.875000,140.291667,2.416667
275,135.125000,137.375000,2.250000
276,138.250000,140.416667,2.166667
277,137.291667,139.833333,2.541667
278,134.333333,137.125000,2.791667
279,136.500000,138.708333,2.208333
280,135.625000,137.250000,1.625000
281,135.791667,137.750000,1.958333
282,135.958333,138.000000,2.041667
283,133.541667,135.791667,2.250000
284,134.916667,137.083333,2.166667
285,133.541667,135.500000,1.958333
286,132.666667,135.041667,2.375000
287,133.958333,136.000000,2.041667
